address,roll_number,year_of_sale,month_of_sale,sale_price,longitude,latitude
453 AIRLIES ST,14051173100,2018,3,"$150,000",-97.1568989,49.9306055
1069 ATLANTIC AVE,14062612000,2018,3,"$245,000",-97.160634,49.937277
1070 ATLANTIC AVE,14062623000,2018,3,"$264,900",-97.1610244,49.9369503
430 GALLOWAY ST,14050904000,2018,3,"$160,000",-97.153757,49.9286611
150 BELMONT AVE,11000723000,2018,3,"$275,500",-97.1145113,49.9356421
94 MCADAM AVE,14071683000,2018,3,"$186,200",-97.1169518,49.9280569
86 NEWTON AVE,11001360200,2018,3,"$240,000",-97.1072816,49.9411074
129 ROYAL AVE,11000871000,2018,3,"$265,000",-97.1110223,49.9394387
170 ROYAL AVE,11000904000,2018,3,"$174,000",-97.1130727,49.939685
96 GILIA DR,11041549000,2018,3,"$273,000",-97.1469573,49.9489387
728 MCADAM AVE,11040010000,2018,3,"$275,000",-97.145645,49.937182
36 TEAKWOOD AVE,11040944000,2018,3,"$282,500",-97.1419959,49.9398657
31 DESHARNAIS ST,5005539100,2018,3,"$340,000",-97.1781514,49.9530469
1568 LEILA AVE,5004576500,2018,3,"$296,000",-97.1740045,49.961627
188 MARGATE RD,5004252300,2018,3,"$273,650",-97.181291,49.951692
59 MARLOW CRT,5004070200,2018,3,"$234,000",-97.171429,49.944969
283 LEILA AVE,11030557000,2018,3,"$255,000",-97.1174692,49.9438696
310 NEWTON AVE,11032240000,2018,3,"$295,000",-97.1184469,49.9446577
111 PETRIW BAY,14098070600,2018,3,"$275,000",-97.1968105,49.9470864
70 BACHMAN BAY,5007112300,2018,3,"$275,000",-97.1883745,49.9601029
39 RITCHIE ST,5007315800,2018,3,"$235,000",-97.189165,49.9616243
140 SEDONA CRES,14099986200,2018,3,"$369,500",-97.1906985,49.9520011
11 MEADOWCREST BAY,5003788800,2018,3,"$375,000",-97.0906264,49.9572752
44 RIVER RIDGE PL,5009318600,2018,3,"$440,000",-97.0876475,49.9539954
162 ENDCLIFFE PL,5009287800,2018,3,"$360,000",-97.1070787,49.9560647
183 WISTERIA WAY,5009232700,2018,3,"$416,000",-97.1087712,49.9576115
67 ARROWHEAD CRT,5009213100,2018,3,"$462,500",-97.1253624,49.9518749
3011 SINCLAIR ST,5001324000,2018,3,"$220,000",-97.1324452,49.9536285
70 ECKHARDT AVE,14096052200,2018,3,"$290,000",-97.2105828,49.9318782
347 EGESZ ST,14095305500,2018,3,"$325,000",-97.2213396,49.9403249
34 FUGA BAY,14097972600,2018,3,"$273,500",-97.2023225,49.9435352
30 MUSKA BAY,14097479000,2018,3,"$275,000",-97.1982423,49.9342871
131 OSTAFIEW FARM RD,14096724000,2018,3,"$307,000",-97.1962936,49.9396424
1983 SELKIRK AVE,14095837500,2018,3,"$265,000",-97.2076314,49.9314486
210 WEITZEL ST,14096711000,2018,3,"$232,500",-97.1957108,49.9409967
701 CASTLEBURY MEADOWS DR,14100127510,2018,3,"$453,238",-97.207551,49.9590151
1605 BALGONA RD,5005580000,2018,3,"$365,000",-97.1518598,49.984315
376 DR. JOSE RIZAL WAY,14100122420,2018,3,"$330,000",-97.1970919,49.9623172
19 DRIFTWATER TRAIL,14100122690,2018,3,"$440,000",-97.19401,49.9613635
19 ALTON WAY,5009422665,2018,3,"$463,000",-97.1783439,49.970457
1575 LEILA AVE,5009138000,2018,3,"$271,000",-97.1738153,49.9621529
325 HARBISON AVE W,14080438000,2018,3,"$245,000",-97.1057877,49.9148108
434 HARBISON AVE W,14080820000,2018,3,"$102,000",-97.1012815,49.9129954
335 JAMISON AVE,2000329000,2018,3,"$160,000",-97.1064937,49.917453
276 OTTAWA AVE,2000448000,2018,3,"$202,000",-97.1078799,49.9191785
450 OTTAWA AVE,2040450000,2018,3,"$220,000",-97.1011317,49.9169474
439 TWEED AVE,14090360000,2018,3,"$77,000",-97.10249,49.908144
262 WASHINGTON AVE,2000498000,2018,3,"$172,000",-97.1089755,49.9187189
634 HARBISON AVE E,14081046000,2018,3,"$235,000",-97.0912987,49.9096652
598 RIVERTON AVE,14091903000,2018,3,"$170,000",-97.0962217,49.9058233
610 UNION AVE E,14082410000,2018,3,"$130,000",-97.0932436,49.9088621
74 CAMERON ST,14092561100,2018,3,"$337,500",-97.0892447,49.9034506
721 MCCALMAN AVE,14093260000,2018,3,"$182,500",-97.0944527,49.9039608
775A TALBOT AVE,14100079800,2018,3,"$264,900",-97.08653,49.9037169
1043 TALBOT AVE,14092343000,2018,3,"$200,000",-97.0743287,49.9015729
235 CHELSEA AVE,2010567000,2018,3,"$254,500",-97.1034172,49.9256506
487 NEIL AVE,2041122000,2018,3,"$242,000",-97.095935,49.920523
377 SYDNEY AVE,2010149000,2018,3,"$170,000",-97.0987535,49.9223642
234 TRENT AVE,2000961000,2018,3,"$281,500",-97.1064724,49.9224537
79 COBOURG AVE,14081826000,2018,3,"$160,500",-97.1181736,49.916212
69 GLENCOE AVE,2030020000,2018,3,"$310,000",-97.102319,49.9360691
187 KIMBERLY AVE,2062782800,2018,3,"$292,000",-97.104627,49.9280989
182 LEIGHTON AVE,2021638000,2018,3,"$309,900",-97.1002533,49.9331629
628 HOSKIN AVE,2050400000,2018,3,"$247,000",-97.0894612,49.9126743
243 KISIL BAY,2050968000,2018,3,"$168,500",-97.069146,49.90722
1034 PRINCE RUPERT AVE,2060936000,2018,3,"$310,000",-97.070029,49.910974
569 CEDARCREST DR,4000670500,2018,3,"$281,500",-97.0731977,49.9319771
296 CHERITON AVE,4000063000,2018,3,"$282,296",-97.086681,49.9372915
284 EDELWEISS CRES,4001971400,2018,3,"$208,000",-97.064791,49.9391209
336 FEARN AVE,2030348000,2018,3,"$320,000",-97.0930632,49.9316867
233 HAWTHORNE AVE,4000105500,2018,3,"$265,000",-97.0891266,49.9395042
765 OAKLAND AVE,4000701000,2018,3,"$225,000",-97.071027,49.930459
39 SHELAGH CRES,4001965800,2018,3,"$325,000",-97.0643601,49.9413306
43 SHELAGH CRES,4001966000,2018,3,"$290,000",-97.0642423,49.9414586
10 BRUNLEA KEY,4002221600,2018,3,"$280,500",-97.067037,49.946314
240 FORTIER AVE,4001146100,2018,3,"$270,000",-97.0768868,49.9503867
389 KNOWLES AVE,4001577600,2018,3,"$315,000",-97.051536,49.9525379
239 LEATHERWOOD COVE,4001173400,2018,3,"$320,000",-97.0479144,49.9494577
2 ARBOR GROVE,4003221300,2018,3,"$359,900",-97.053066,49.940488
159 CINDY KLASSEN WAY,4007133900,2018,3,"$415,000",-97.0377083,49.9448295
193 RAGSDILL RD,4003630400,2018,3,"$399,900",-97.0410445,49.9419868
155 ST MORITZ RD,4007139700,2018,3,"$295,000",-97.0399517,49.9378275
1099 KIMBERLY AVE,2062574500,2018,3,"$225,000",-97.063258,49.914325
766 BRAZIER ST,2011391000,2018,3,"$290,000",-97.0993566,49.9267767
250 OAKVIEW AVE,2020303000,2018,3,"$195,000",-97.0994213,49.9287615
304 MELROSE AVE W,9000053500,2018,3,"$235,000",-97.0083274,49.8941965
411 HARVARD AVE W,9001026500,2018,3,"$238,000",-97.0131342,49.8992955
330 ROSSEAU AVE W,9000819500,2018,3,"$183,000",-97.0103218,49.8981386
808 WINONA ST,9001002000,2018,3,"$220,000",-97.0076316,49.8996225
544 YALE AVE W,9005441000,2018,3,"$213,000",-97.0194715,49.8965397
506 HARVARD AVE E,9000922500,2018,3,"$214,000",-96.9927636,49.8989149
716 KILDARE AVE W,9005603000,2018,3,"$250,000",-97.0223469,49.9005969
211 THOM AVE W,9010473870,2018,3,"$335,008",-97.006172,49.9071022
